rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
576,77,-0.026949,0.995013,0.0020,0.0030,-0.009633,0.012357,0.021989,nontool
577,132,-0.026606,0.996065,0.0010,0.0020,-0.005167,0.004899,0.010066,nontool
578,466,0.026093,0.997011,0.0020,0.0010,0.004755,0.009438,0.004683,tool
579,682,-0.026024,0.990293,0.0080,0.0070,-0.009059,0.024714,0.033773,nontool
580,432,0.025573,0.990492,0.0060,0.0070,0.020556,0.062054,0.041497,tool
581,95,-0.025460,0.994069,0.0040,0.0040,-0.007658,0.014410,0.022068,nontool
582,526,0.024955,0.974454,0.0240,0.0190,0.014996,0.095539,0.080543,tool
583,287,-0.024853,0.990265,0.0070,0.0070,-0.022426,0.050586,0.073012,nontool
584,339,0.024848,0.981551,0.0130,0.0140,0.023034,0.109149,0.086115,tool
585,247,0.024760,0.996013,0.0030,0.0020,0.005469,0.013575,0.008106,tool
586,108,0.024710,0.996509,0.0030,0.0020,0.005393,0.013593,0.008200,tool
587,139,0.024381,0.995017,0.0030,0.0030,0.009293,0.023967,0.014674,tool
588,302,-0.023514,0.994037,0.0050,0.0040,-0.007930,0.017283,0.025213,nontool
589,660,-0.022737,0.976050,0.0140,0.0180,-0.013765,0.068568,0.082333,nontool
590,406,0.022665,0.996034,0.0040,0.0020,0.005141,0.014844,0.009703,tool
591,340,0.022514,0.996008,0.0030,0.0020,0.008956,0.021010,0.012055,tool
592,624,-0.022432,0.997003,0.0010,0.0010,-0.004081,0.003338,0.007419,nontool
593,240,-0.022078,0.996018,0.0020,0.0020,-0.004508,0.006388,0.010896,nontool
594,297,-0.021288,0.997003,0.0010,0.0010,-0.003319,0.002983,0.006301,nontool
595,190,-0.021005,0.996012,0.0010,0.0020,-0.005752,0.007656,0.013408,nontool
596,574,0.020929,0.992533,0.0070,0.0050,0.009399,0.037137,0.027738,tool
597,447,-0.020600,0.995129,0.0040,0.0030,-0.006396,0.014199,0.020594,nontool
598,620,-0.020529,0.994024,0.0040,0.0040,-0.008133,0.018899,0.027032,nontool
599,464,-0.020197,0.992514,0.0060,0.0050,-0.007691,0.023339,0.031030,nontool
600,114,-0.020115,0.995007,0.0030,0.0030,-0.005807,0.012587,0.018393,nontool
601,113,0.019593,0.988900,0.0120,0.0080,0.010753,0.056218,0.045464,tool
602,504,-0.019224,0.992570,0.0060,0.0050,-0.006671,0.021455,0.028126,nontool
603,790,-0.019162,0.996035,0.0010,0.0020,-0.003136,0.004735,0.007871,nontool
604,107,-0.019028,0.996019,0.0010,0.0020,-0.004041,0.006172,0.010213,nontool
605,804,0.018875,0.990579,0.0140,0.0070,0.008595,0.049236,0.040641,tool
606,345,0.018800,0.986553,0.0120,0.0100,0.011766,0.068459,0.056693,tool
607,634,0.018637,0.994260,0.0040,0.0040,0.014298,0.046839,0.032542,tool
608,335,0.018254,0.991969,0.0080,0.0060,0.008631,0.042348,0.033718,tool
609,604,0.018232,0.994132,0.0040,0.0040,0.008959,0.027753,0.018795,tool
610,496,0.017907,0.996006,0.0010,0.0020,0.006300,0.014595,0.008295,tool
611,363,-0.017783,0.995036,0.0030,0.0030,-0.004669,0.011832,0.016501,nontool
612,147,0.017286,0.990298,0.0140,0.0070,0.007569,0.046868,0.039298,tool
613,93,0.016935,0.981507,0.0180,0.0140,0.014631,0.104672,0.090041,tool
614,545,-0.016908,0.996006,0.0010,0.0020,-0.002652,0.004690,0.007342,nontool
615,234,0.016896,0.997004,0.0020,0.0010,0.002583,0.007135,0.004552,tool
616,392,0.015635,0.997004,0.0020,0.0010,0.002598,0.007666,0.005068,tool
617,437,-0.015599,0.997003,0.0010,0.0010,-0.002729,0.003997,0.006726,nontool
618,383,0.015476,0.980089,0.0220,0.0150,0.009099,0.082999,0.073900,tool
619,809,-0.014405,0.997003,0.0010,0.0010,-0.002354,0.003855,0.006209,nontool
620,325,0.014323,0.996009,0.0020,0.0020,0.002979,0.010662,0.007683,tool
621,737,0.013914,0.995024,0.0040,0.0030,0.003673,0.017398,0.013725,tool
622,698,-0.013833,0.997003,0.0010,0.0010,-0.002071,0.003585,0.005656,nontool
623,561,-0.013550,0.997003,0.0010,0.0010,-0.002564,0.004564,0.007128,nontool
624,542,-0.013103,0.994129,0.0040,0.0040,-0.003683,0.015775,0.019458,nontool
625,6,-0.012890,0.997003,0.0010,0.0010,-0.002944,0.005598,0.008542,nontool
626,770,0.012806,0.997005,0.0030,0.0010,0.002646,0.009906,0.007260,tool
627,380,-0.012507,0.995020,0.0030,0.0030,-0.003774,0.014072,0.017846,nontool
628,711,0.011999,0.996011,0.0040,0.0020,0.003494,0.017168,0.013675,tool
629,558,0.011737,0.874623,0.0760,0.1010,0.041540,0.798999,0.757459,tool
630,164,-0.011609,0.995009,0.0040,0.0030,-0.003632,0.015665,0.019297,nontool
631,357,0.011367,0.992542,0.0060,0.0050,0.004043,0.028151,0.024109,tool
632,138,0.011182,0.996010,0.0050,0.0020,0.003639,0.019721,0.016082,tool
633,772,-0.010282,0.994134,0.0040,0.0040,-0.002653,0.014714,0.017368,nontool
