name,architecture,variant_family,regime,dict_size,topk,exclusive_pct,exclusive_pct_label,model_side,metric_family,stage,value
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,A,format_accuracy,post,70.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,A,overall_score,post,1.1
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,B,overall_score,post,-0.66
antebe1/cc-D8k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,8192,45,0.0,0%,A,tool_correctness,post,70.0
